gene_id,first_generation,last_generation,appearances,reward,param_count,runtime_min,submission_flag,status,job_id,source_log,is_valid,failure_kind
xXxRM0h74yVvCLCsb7znoS59UJn,14,14,1,778.8663849565928,11085.0,15,True,completed,5152641,slurm-5149662.out,True,valid
xXx7akmPV2iZupejwNCMFezu3Yw,0,13,14,777.7252746605541,11085.0,29,True,completed,5142088,slurm-5142024.out,True,valid
xXxBHGOw2hjHwS4C31EU5NSGTTB,0,13,14,775.4338481353645,11085.0,29,True,completed,5142078,slurm-5142024.out,True,valid
xXxJZITEfqax7BuLlToVul7b71l,7,13,7,769.3823350387845,11085.0,20,True,completed,5150210,slurm-5149662.out,True,valid
xXxycsyfycjylM22Srfh7SA4fOF,17,17,1,768.7241696606549,1389.0,20,True,completed,5153849,slurm-5149662.out,True,valid
xXxideifjcNdziXdZqnbLOvk4G6,2,13,12,766.8791807845505,11085.0,1400,True,completed,5145423,slurm-5149662.out,True,valid
xXx5xXRvhSoQUjUEeIXfZW3Z5Td,4,13,10,764.8445812539505,11085.0,20,True,completed,5149838,slurm-5149662.out,True,valid
xXxGj9IefjKBzEmJscGFvhReHku,16,16,1,760.7583764916169,25517.0,20,True,completed,5153202,slurm-5149662.out,True,valid
xXxD0ZdoDwvJwc5ur7O0I9bP8gF,14,14,1,753.6228281153092,38541.0,15,True,completed,5152636,slurm-5149662.out,True,valid
xXxfnvIZ5jre5yBAPm0ccCsQX6I,16,16,1,751.5010614923805,11085.0,20,True,completed,5153199,slurm-5149662.out,True,valid
xXxJxZojGE9Qxt9Yb7pt4R9cbBK,4,17,14,749.0171751628443,1389.0,20,True,completed,5149834,slurm-5149662.out,True,valid
xXxISRUU0E64127WIPPHNUZZ7e7,9,12,4,742.8974986818326,11085.0,20,True,completed,5150661,slurm-5149662.out,True,valid
xXxV1WRjf35cWKIudrQPTxDrdy5,4,12,9,739.4771038002082,11085.0,20,True,completed,5149832,slurm-5149662.out,True,valid
xXxofvf7dDHyi8aK5rfgj3fkNjI,14,14,1,734.8127693671456,11085.0,15,True,completed,5152645,slurm-5149662.out,True,valid
xXx7Dn8d57P6lsYUsE6MTn04Kn7,8,11,4,731.53268980807,11085.0,21,True,completed,5150416,slurm-5149662.out,True,valid
xXxcnDWTjQhYTsrzfW3gCq1768v,12,12,1,731.3313699314378,142605.0,26,True,completed,5151692,slurm-5149662.out,True,valid
xXxdels8wvbYoyOgFouyEPrIqFZ,5,9,5,727.517380957677,38541.0,14,True,completed,5149929,slurm-5149662.out,True,valid
xXx8ZpKW3K8SagPWWBC9SlcFCEx,1,11,11,727.4365773988823,11085.0,19,True,completed,5144008,slurm-5142024.out,True,valid
xXxNAhdsj2CR8XNCNPKZ0idudPC,6,11,6,724.9034610265833,11085.0,20,True,completed,5150026,slurm-5149662.out,True,valid
xXxDdpi5C9Ehf6lJYfjq1KjaFSS,15,17,3,723.3388228439806,1389.0,20,True,completed,5152834,slurm-5149662.out,True,valid
xXxi4AMcrpqIrOujGSyfxucQYQc,3,11,9,712.1740020150547,11085.0,20,True,completed,5149710,slurm-5149662.out,True,valid
xXxMGccBNJgkNcbYHAdMWXVT6UJ,17,17,1,707.6653729369991,11085.0,24,True,completed,5153773,slurm-5149662.out,True,valid
xXxmKEUghcCXinZ9DOm9Nhf2TIs,10,10,1,707.483319710833,11085.0,19,True,completed,5150937,slurm-5149662.out,True,valid
xXxq7ZD285iUEXCaM5VQCRLfJTg,7,10,4,700.1646521304092,11085.0,20,True,completed,5150220,slurm-5149662.out,True,valid
xXxdLaX6tY69mPbnia2qozBys5z,6,7,2,698.4307206543377,38541.0,20,True,completed,5150023,slurm-5149662.out,True,valid
xXxKS1RGRRFKLfHMtmGbVfBzSCR,0,10,11,695.4043824989183,11085.0,29,True,completed,5142082,slurm-5142024.out,True,valid
xXxNLoN7eNcc0rR2vrTdtQ6bCYO,8,9,2,691.504828610046,11085.0,21,True,completed,5150407,slurm-5149662.out,True,valid
xXxaZHNwOGFxr6HV6MppRqa88oZ,4,10,7,689.2266340762815,11085.0,20,True,completed,5149841,slurm-5149662.out,True,valid
xXxsWdpOOUuaOymA73BZSuaF3hw,12,12,1,686.1816655398468,142605.0,26,True,completed,5151679,slurm-5149662.out,True,valid
xXxLG9bCoK9toAy1hmTsSUmIXSY,12,17,6,679.5950350771852,1389.0,26,True,completed,5151693,slurm-5149662.out,True,valid
xXxlV61JOfkNeynoo7ssKHYILc5,1,9,9,679.2124950365572,11085.0,19,True,completed,5144002,slurm-5142024.out,True,valid
xXxrIfq5x3TPDzF3yd6GpRDCPUN,12,12,1,672.3153861224829,11085.0,26,True,completed,5151698,slurm-5149662.out,True,valid
xXxs1jgZleQa0mqy9EtM8Wf4Mhk,7,7,1,664.0581329281295,38541.0,20,True,completed,5150202,slurm-5149662.out,True,valid
xXxhccKQNKIX9EvqaXISWOwfbWK,6,8,3,651.0833510492866,11085.0,20,True,completed,5150030,slurm-5149662.out,True,valid
xXxHKFIWX9p2kPG4q47uaZlr5rt,13,17,5,650.0496893627135,5261.0,20,True,completed,5152394,slurm-5149662.out,True,valid
xXxDnzXt1iIikrzZSQtDwsGuRP6,14,14,1,649.8888452107142,547341.0,15,True,completed,5152623,slurm-5149662.out,True,valid
xXxEYT2nEtD04MetN44Ufdpj71y,15,17,3,642.8059627791666,3501.0,20,True,completed,5152817,slurm-5149662.out,True,valid
xXxfWkickNawsiAMmn9gmgV2iqd,13,13,1,642.3582657767699,11085.0,27,True,completed,5152274,slurm-5149662.out,True,valid
xXxNp84epY7U8So7E5WnapGZY6n,6,8,3,639.2154501283923,11085.0,20,True,completed,5150035,slurm-5149662.out,True,valid
xXxfUUUPRQEOjK4zXM8A7SsYrCA,12,12,1,638.909049030795,11085.0,26,True,completed,5151682,slurm-5149662.out,True,valid
xXxck42xYdomZJE4Pbg0eTK5lfn,13,13,1,631.4745200418156,55885.0,20,True,completed,5152383,slurm-5149662.out,True,valid
xXx1aDyrJXankxPhrCxJtzF7gu6,2,8,7,628.9557561985959,11085.0,1400,True,completed,5145415,slurm-5149662.out,True,valid
xXxU0swyaH2iPVsbAOEeibKhHg7,4,7,4,626.3422400227767,11085.0,20,True,completed,5149827,slurm-5149662.out,True,valid
xXx0oWMq2RN7L8MtAiRwA1ng0SI,11,11,1,626.2521301272008,38541.0,20,True,completed,5151271,slurm-5149662.out,True,valid
xXxQWoht6gO9AWv5umXGu2HG0vP,8,8,1,624.8970309019089,142605.0,21,True,completed,5150412,slurm-5149662.out,True,valid
xXx5LnkEs9P3VX1ALHNdLAF2BXq,13,17,5,623.4044915285261,1389.0,20,True,completed,5152384,slurm-5149662.out,True,valid
xXxEA39IPNQHThbe5H10tEaJi1x,15,15,1,617.6357304462821,11085.0,20,True,completed,5152820,slurm-5149662.out,True,valid
xXxLcD0OPoCbD2TmXPAIruz8YR1,15,15,1,615.0981807676255,38541.0,20,True,completed,5152815,slurm-5149662.out,True,valid
xXx8hITsxDhHUTqufWXaoR24T7m,1,7,7,614.9252284777239,11085.0,19,True,completed,5144013,slurm-5142024.out,True,valid
xXxC77t9Ak1JnIZPCNMvxGmugqa,0,7,8,608.9006919960506,11085.0,29,True,completed,5142066,slurm-5142024.out,True,valid
xXx2jLLixCpVi8RatWNspEImgrY,4,6,3,602.9938112476127,11085.0,20,True,completed,5149824,slurm-5149662.out,True,valid
xXxabxBNLcrj6hA0aQfjn3T6ch3,17,17,1,601.3890675442417,38541.0,20,True,completed,5153842,slurm-5149662.out,True,valid
xXxyJOoDobkDdHMYGO2rwAcSw1K,13,13,1,590.9980091739993,11085.0,20,True,completed,5152387,slurm-5149662.out,True,valid
xXxEeZdBikj8HTbZcbF65m6Lm9H,9,9,1,588.5833795014557,38541.0,20,True,completed,5150663,slurm-5149662.out,True,valid
xXx5EGiHEDbgI8MU0FrqWEFTLEX,15,15,1,561.6139131301102,90893.0,20,True,completed,5152822,slurm-5149662.out,True,valid
xXx4vYVH4plsQ598jtTejQIzKzx,15,15,1,540.3616640740886,38541.0,20,True,completed,5152813,slurm-5149662.out,True,valid
xXxNXG2HKEpndvrFxkCY1sqNbGj,0,6,7,531.790699715296,11085.0,29,True,completed,5142067,slurm-5142024.out,True,valid
xXxUhDfLjNL8ES7QMif5CHUwiR0,9,10,2,517.386606757224,11085.0,20,True,completed,5150662,slurm-5149662.out,True,valid
xXxJjtReoC912H38rxNxfcHJwiO,11,11,1,512.1222062577614,38541.0,20,True,completed,5151285,slurm-5149662.out,True,valid
xXxrkc77NtP2HPdCEZBlnbI7WpH,0,6,7,511.4600183392161,38541.0,29,True,completed,5142068,slurm-5142024.out,True,valid
xXxQtQHOeFZixM1Gcc7knLB3Wrx,0,6,7,509.4202073338365,11085.0,29,True,completed,5142056,slurm-5142024.out,True,valid
xXxPxkSnBF0QFJWSfnlKEmp3eNn,0,6,7,501.7984549662139,11085.0,29,True,completed,5142083,slurm-5142024.out,True,valid
xXxTXiXAKG2e3VeyyZ4RktRticu,14,14,1,497.29488269752244,38541.0,15,True,completed,5152624,slurm-5149662.out,True,valid
xXxUwzaDjmTBhHHElgIgLqMdx6W,9,9,1,491.5441835421435,137357.0,20,True,completed,5150657,slurm-5149662.out,True,valid
xXx8zbIa7cwuc2BaQtDDC5nFnpV,16,17,2,489.0117308065214,38541.0,20,True,completed,5153208,slurm-5149662.out,True,valid
xXxTfIuECdIHGSiBA3AeqL9X9yI,10,10,1,463.67418223856305,11085.0,19,True,completed,5150926,slurm-5149662.out,True,valid
xXxaIbAJwiADg0JYnS6ma2i3RLH,5,5,1,454.11556495581374,142605.0,14,True,completed,5149943,slurm-5149662.out,True,valid
xXxIDqgFtAyZ8lZO9c8pNLtH6Lw,1,5,5,449.3107780399282,38541.0,19,True,completed,5144006,slurm-5142024.out,True,valid
xXxDhAekDBW5qs65ebAVkXjBNy4,14,14,1,446.694683573012,38541.0,15,True,completed,5152638,slurm-5149662.out,True,valid
xXxgwQ2ULRobBnemmelZp3d6uuG,5,6,2,440.7699656178744,11085.0,14,True,completed,5149928,slurm-5149662.out,True,valid
xXxsNuKE38GcK13kj52GN0BclXf,7,7,1,426.54384745675816,11085.0,20,True,completed,5150208,slurm-5149662.out,True,valid
xXxZ7emrx9AC8K23N0tLY1tsV9b,1,6,6,415.7988712595628,11085.0,19,True,completed,5144015,slurm-5142024.out,True,valid
xXxauyMDPsdPvQXe6q3lii5NCEu,2,6,5,406.0100589261962,11085.0,1400,True,completed,5145414,slurm-5149662.out,True,valid
xXxlR3KXkPeJZ4m6lMcKAya9az0,1,4,4,402.7101161159627,38541.0,19,True,completed,5144003,slurm-5142024.out,True,valid
xXxIEaUQRbrWUw23QCM68vAHCof,15,15,1,399.6613563664699,11085.0,20,True,completed,5152827,slurm-5149662.out,True,valid
xXxKzD5qGVgG4qSrzRnJ0ai3LZG,11,11,1,384.5786188090436,11085.0,25,True,completed,5151204,slurm-5149662.out,True,valid
xXxo4W9NvvbskX20AJmEjKbozsu,10,10,1,384.4384721181885,547341.0,19,True,completed,5150932,slurm-5149662.out,True,valid
xXxhlmgUUaxGhTSog7HxQssAXo1,17,17,1,363.70918662857673,38541.0,24,True,completed,5153776,slurm-5149662.out,True,valid
xXxyxTFDyXCcpTxgYdOOTTG0CRz,10,10,1,361.1924807951831,38541.0,19,True,completed,5150934,slurm-5149662.out,True,valid
xXx9Lmwda6U9K2Osu7GQfBExUIy,13,13,1,342.1028289717231,11085.0,20,True,completed,5152382,slurm-5149662.out,True,valid
xXx2mVbVaPQ6yT9X4zjB3UIbW6Y,4,6,3,288.7086275658483,11085.0,20,True,completed,5149831,slurm-5149662.out,True,valid
xXxKnLEXZ4ioVtICstpdVOCrYJn,4,4,1,287.12467248268507,38541.0,20,True,completed,5149840,slurm-5149662.out,True,valid
xXxx8BeDNo4GS1i1oETJpv40AJJ,7,7,1,246.11285002559967,11085.0,20,True,completed,5150212,slurm-5149662.out,True,valid
xXx704EEJLNiOINAUQhVbRh4amM,3,6,4,231.4126200089499,11085.0,20,True,completed,5149711,slurm-5149662.out,True,valid
xXxc4pciS1TcUZ8KI2JSPwUo7gF,2,5,4,223.2558283189739,11085.0,1400,True,completed,5145413,slurm-5149662.out,True,valid
xXxO2mktPYGnElTIhjyJVKCdOnn,0,4,5,221.46700235570952,38541.0,29,True,completed,5142058,slurm-5142024.out,True,valid
xXxQurOeeDOhUaV6GeBRDh30bm4,17,17,1,172.35047980138356,7645.0,20,True,completed,5153852,slurm-5149662.out,True,valid
xXxR3Vlv58GUW46crF9bE4asnp2,17,17,1,169.98546279174167,2077.0,20,True,completed,5153851,slurm-5149662.out,True,valid
xXxyhVjfAhMsO7TdYrVivg0x8tG,9,9,1,168.78877232842675,11085.0,20,True,completed,5150646,slurm-5149662.out,True,valid
xXxgYgEN6CvFDMZLVc0s5Y5DVoT,2,17,16,149.4285801807787,1389.0,1400,True,completed,5145418,slurm-5149662.out,True,valid
xXxhDVPIvs3fWWVdKhRh3TgXqnT,11,17,7,143.50770865341576,1389.0,20,True,completed,5151280,slurm-5149662.out,True,valid
xXxBB8yLbGh4mMwa8xzJqiBLzl7,14,14,1,98.52248803042009,11085.0,15,True,completed,5152647,slurm-5149662.out,True,valid
xXxN3o8TnoSL9P4Lol5hWnHZzqW,14,14,1,85.19177185416007,11085.0,15,True,completed,5152643,slurm-5149662.out,True,valid
xXxR2xROckItORwepcoq9p4rS5q,15,15,1,76.50743642781865,71565.0,20,True,completed,5152824,slurm-5149662.out,True,valid
xXxAQQFhDB2oeamMdm9XKZzvHqZ,0,4,5,73.50492274281704,38541.0,29,True,completed,5142079,slurm-5142024.out,True,valid
xXxe3koqEUCTEynZtMjCS2byDvH,16,16,1,69.32499723997157,11085.0,20,True,completed,5153214,slurm-5149662.out,True,valid
xXxoSvtcGj6praAKyAEBpmQhZ74,3,17,15,47.230343640296375,7645.0,20,True,completed,5149720,slurm-5149662.out,True,valid
xXx9jblXs9kKMnDDwDuXVsZdCfZ,0,4,5,9.03205817179165,54605.0,29,True,completed,5142087,slurm-5142024.out,True,valid
xXxjoNwACswJ4hkdfFWXBlDQs2S,17,17,1,-0.14553827485752993,38541.0,20,True,completed,5153859,slurm-5149662.out,True,valid
xXxwc9Tq6dXxya0sZB2Qur7oohc,2,4,3,-0.1913376111529433,38541.0,1400,True,completed,5145425,slurm-5149662.out,True,valid
xXxbYm6kqSZg9ovpvZojdNyyR4J,5,5,1,-0.40708597005852304,11085.0,14,True,completed,5149930,slurm-5149662.out,True,valid
xXxGoy9qp7kc4dcqKjR5vNOu4de,9,9,1,-0.7983702739250448,38541.0,20,True,completed,5150670,slurm-5149662.out,True,valid
xXxw4LYBvNXGayr8UjC0eX99nf8,15,15,1,-0.8628122538633557,21581.0,20,True,completed,5152818,slurm-5149662.out,True,valid
xXxDHORihAOiRFSapUuv5PpiL8w,13,17,5,-1.5689133546266787,1389.0,20,True,completed,5152372,slurm-5149662.out,True,valid
xXxs3VCLgjA01yRYrohEmM4N3Rr,4,5,2,-1.7231340351635989,38541.0,20,True,completed,5149822,slurm-5149662.out,True,valid
xXxCFM259093avK1qxhW9VoK5VE,10,17,8,-3.1482306968123326,2077.0,19,True,completed,5150923,slurm-5149662.out,True,valid
xXxB3pdPkagjt173VQVuSNGBuiu,14,17,4,-4.444893162702138,2077.0,21,True,completed,5152602,slurm-5149662.out,True,valid
xXxFqen6hx4WGXYbMWDDc3gsUQ8,15,17,3,-8.142084329835415,6701.0,20,True,completed,5152816,slurm-5149662.out,True,valid
xXxzUYmcnzISwZJlcgqkCq0IPLX,2,4,3,-33.25496500922187,38541.0,1400,True,completed,5145426,slurm-5149662.out,True,valid
xXxukosVmS7pB3lJKrcyRBL5D1c,4,4,1,-357.94885880736626,11085.0,20,True,completed,5149821,slurm-5149662.out,True,valid
xXx0BTUalzu1ysSKBEdaB9i4UbN,13,13,1,-inf,inf,20,True,completed,5152389,slurm-5149662.out,False,runtime_invalid
xXx0FIz9dOEI7ZIceCsZppBXaoP,10,10,1,-inf,inf,19,True,completed,5150924,slurm-5149662.out,False,runtime_invalid
xXx0IW6gYO7YU28Vt7WODTQcQUn,7,7,1,-999999.0,999999999.0,20,True,completed,5150205,slurm-5149662.out,False,hard_failure
xXx0cNGYMkTHDJ21m0AUSrTsR63,12,12,1,-inf,inf,26,True,completed,5151688,slurm-5149662.out,False,runtime_invalid
xXx0cXRGR4PHfenshW1lgfrsh99,13,13,1,-inf,inf,20,True,completed,5152381,slurm-5149662.out,False,runtime_invalid
xXx0ph0gANyNIyPwN7J08mVhAeM,10,10,1,-inf,inf,19,True,completed,5150916,slurm-5149662.out,False,runtime_invalid
xXx0xdDMAtgmmtFPT6VzQfCxDAn,9,9,1,-inf,inf,20,True,completed,5150653,slurm-5149662.out,False,runtime_invalid
xXx16rOJhKlADq8OF52n82k16Cs,13,13,1,-inf,inf,20,True,completed,5152371,slurm-5149662.out,False,runtime_invalid
xXx1FvDbEomJr1RjfKIVphm0nt7,6,6,1,-inf,inf,20,True,completed,5150029,slurm-5149662.out,False,runtime_invalid
xXx1w11LSOhOZbBS0iRYLEoYDqp,4,4,1,-inf,inf,20,True,completed,5149819,slurm-5149662.out,False,runtime_invalid
xXx2aCVHb2csfEUdD1LDGYzILq0,10,10,1,-inf,inf,19,True,completed,5150915,slurm-5149662.out,False,runtime_invalid
xXx2s5Wkx3fWqb9HHWRg7KNGQn8,0,0,1,-inf,inf,29,True,completed,5142062,slurm-5142024.out,False,runtime_invalid
xXx3Kt7UXJmjTFtlljcy0mzxT3n,8,8,1,-inf,inf,21,True,completed,5150394,slurm-5149662.out,False,runtime_invalid
xXx3wm7Xkjcon0EMZfKvUSpk242,11,11,1,-inf,inf,25,True,completed,5151216,slurm-5149662.out,False,runtime_invalid
