generation,gene_id,reward,param_count,submission_flag,runtime_min,status,job_id,source_log,is_valid,failure_kind
1,xXxUXUCKF7DIXE9NOrG2mMfqRxk,-inf,inf,True,19,completed,5144014,slurm-5142024.out,False,runtime_invalid
1,xXxZ7emrx9AC8K23N0tLY1tsV9b,415.7988712595628,11085.0,True,19,completed,5144015,slurm-5142024.out,True,valid
1,xXxupAfWs24zYNS0q3dC0CjRSJR,1105.3316962030003,38541.0,True,48,completed,5142054,slurm-5142024.out,True,valid
1,xXx1X0dXwb7llJPUC1ErsXcKLok,1018.6737273172181,11085.0,True,48,completed,5142065,slurm-5142024.out,True,valid
1,xXxR6Sd4W55BBXNqQ11VOUFwEa5,1002.6149336743641,11085.0,True,48,completed,5142081,slurm-5142024.out,True,valid
1,xXxrd1qCZbJJBEldfp5XmY4MgRY,960.3144927004316,11085.0,True,48,completed,5142073,slurm-5142024.out,True,valid
1,xXx79zrkx0Sr70eMI7NxoOmtbto,921.9557010746406,11085.0,True,48,completed,5142070,slurm-5142024.out,True,valid
1,xXxSiIC8XNiMnWSeWbO3xgoJdmN,835.389459590928,11085.0,True,48,completed,5142072,slurm-5142024.out,True,valid
1,xXx7akmPV2iZupejwNCMFezu3Yw,777.7252746605541,11085.0,True,48,completed,5142088,slurm-5142024.out,True,valid
1,xXxBHGOw2hjHwS4C31EU5NSGTTB,775.4338481353645,11085.0,True,48,completed,5142078,slurm-5142024.out,True,valid
1,xXxKS1RGRRFKLfHMtmGbVfBzSCR,695.4043824989183,11085.0,True,48,completed,5142082,slurm-5142024.out,True,valid
1,xXxNXG2HKEpndvrFxkCY1sqNbGj,531.790699715296,11085.0,True,48,completed,5142067,slurm-5142024.out,True,valid
1,xXxQtQHOeFZixM1Gcc7knLB3Wrx,509.4202073338365,11085.0,True,48,completed,5142056,slurm-5142024.out,True,valid
1,xXxrkc77NtP2HPdCEZBlnbI7WpH,511.4600183392161,38541.0,True,48,completed,5142068,slurm-5142024.out,True,valid
1,xXxPxkSnBF0QFJWSfnlKEmp3eNn,501.7984549662139,11085.0,True,48,completed,5142083,slurm-5142024.out,True,valid
1,xXxAQQFhDB2oeamMdm9XKZzvHqZ,73.50492274281704,38541.0,True,48,completed,5142079,slurm-5142024.out,True,valid
1,xXx9jblXs9kKMnDDwDuXVsZdCfZ,9.03205817179165,54605.0,True,48,completed,5142087,slurm-5142024.out,True,valid
1,xXxS65tZXL0biwAkFDDDeAEfzcv,-999999.0,999999999.0,True,48,completed,5142074,slurm-5142024.out,False,hard_failure
1,xXxISD0YPy2slHPjPraCyFM3d4k,-999999.0,999999999.0,True,48,completed,5142086,slurm-5142024.out,False,hard_failure
2,xXxRqgZyidoBwe2gEsK5hEEAXDW,-inf,inf,True,1402,completed,5145303,slurm-5149662.out,False,runtime_invalid
2,xXxc9vrKkd129mne8PBB853CLcH,-inf,inf,True,1402,completed,5145304,slurm-5149662.out,False,runtime_invalid
2,xXxc4pciS1TcUZ8KI2JSPwUo7gF,223.2558283189739,11085.0,True,1400,completed,5145413,slurm-5149662.out,True,valid
2,xXx79zrkx0Sr70eMI7NxoOmtbto,921.9557010746406,11085.0,True,1450,completed,5142070,slurm-5149662.out,True,valid
2,xXxauyMDPsdPvQXe6q3lii5NCEu,406.0100589261962,11085.0,True,1400,completed,5145414,slurm-5149662.out,True,valid
2,xXx1aDyrJXankxPhrCxJtzF7gu6,628.9557561985959,11085.0,True,1400,completed,5145415,slurm-5149662.out,True,valid
2,xXxZ4o4DISFXcEbYyZCMeciawmk,1120.6673198546694,11085.0,True,1400,completed,5145416,slurm-5149662.out,True,valid
2,xXxe06teCjMbLULWw7am0M7gyf6,-inf,inf,True,1400,completed,5145417,slurm-5149662.out,False,runtime_invalid
2,xXxgYgEN6CvFDMZLVc0s5Y5DVoT,149.4285801807787,1389.0,True,1400,completed,5145418,slurm-5149662.out,True,valid
2,xXxL7tL7bDDvMnI7U1eUe3Jh66K,-inf,inf,True,1400,completed,5145419,slurm-5149662.out,False,runtime_invalid
2,xXxHIj827tiDIbX2tE6IZhpGodu,-999999.0,999999999.0,True,1400,completed,5145420,slurm-5149662.out,False,hard_failure
2,xXxlR3KXkPeJZ4m6lMcKAya9az0,402.7101161159627,38541.0,True,1421,completed,5144003,slurm-5149662.out,True,valid
2,xXxtJpNgkQRe0Yf5FTIosLCQYM7,-inf,inf,True,1400,completed,5145421,slurm-5149662.out,False,runtime_invalid
2,xXxqI2ZmrOewp26e9nEKqboLUVN,-inf,inf,True,1400,completed,5145422,slurm-5149662.out,False,runtime_invalid
